Product ID,Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method,Rating,Reviews
P001,10001,2024-11-01,Electronics,iPhone 14 Pro,2,999.99,1999.98,North America,Credit Card,1,I always wanted to have an I phone i got it now. Thank you very much for such product.
P002,10002,2024-11-01,Home Appliances,Dyson V11 Vacuum,1,499.99,499.99,Europe,PayPal,0,A terrible experience. The vacuum cleaner doesn't even work bro.
P003,10003,2024-11-01,Clothing,Levi's 501 Jeans,3,69.99,209.97,Asia,Debit Card,1,I regret buying this. It's of very low quality the jeans very torn after few days of use. I won't recommend buying this product.
P004,10004,2024-11-01,Books,The Da Vinci Code,4,15.99,63.96,North America,Credit Card,0,Well love the book, but the quality of the book is okay okay and fine.
P005,10005,2024-11-01,Beauty Products,Neutrogena Skincare Set,1,89.99,89.99,Europe,PayPal,4,Absolutely fantastic after one month of use! Didn't except to have such good results on my screen.
P006,10006,2024-11-01,Sports,Nike Air Max 270,2,150.0,300.0,Asia,Credit Card,0,This shoes are awesome i had lot of comfort after using this, the cost was too high but fine, it's worth the cost.
P007,10007,2024-11-01,Electronics,Samsung Galaxy S22,1,799.99,799.99,North America,Debit Card,1,Man received a damaged product bro, sheesh i wan't a new and please replace this product as soon as possible!!!
P008,10008,2024-11-01,Home Appliances,Keurig K-Elite Coffee Maker,1,129.99,129.99,Europe,PayPal,5,Five stars! The worst product, don't like the product sir/madam. Totally shit.
P009,10009,2024-11-01,Clothing,Adidas Ultraboost,2,180.0,360.0,Asia,Credit Card,1,The quality is shocking. Avoid this product.
P010,10010,2024-11-01,Books,To Kill a Mockingbird,5,12.99,64.95,North America,Credit Card,1,The item arrived damaged and unusable.
P011,10011,2024-11-01,Beauty Products,Fenty Beauty Foundation,1,36.0,36.0,Europe,PayPal,1,The beauty product doesn't seem to work well after so many days of use.
P012,10012,2024-11-01,Sports,Yoga Mat,3,29.99,89.97,Asia,Debit Card,5,Works perfectly and is incredibly well-made.
P013,10013,2024-11-09,Electronics,Apple Watch Series 8,1,399.0,399.0,North America,Credit Card,4,Excellent quality and value. Highly recommend.
P014,10014,2024-11-09,Home Appliances,Instant Pot Duo,1,89.99,89.99,Europe,Credit Card,1,Very disappointed with the quality. Broke almost immediately.
P015,10015,2024-11-09,Clothing,Patagonia Better Sweater,1,139.0,139.0,Asia,PayPal,4,Top-notch quality and i love it. You won't be disappointed. Buy it guys 
P016,10016,2024-11-09,Books,1984 by George Orwell,4,9.99,39.96,North America,Debit Card,4,The quality of the book is awesome! The pages smells so good, I recommend you guys for buying it.
P017,10017,2024-11-09,Beauty Products,La Mer Moisturizing Cream,1,190.0,190.0,Europe,Credit Card,1,The Moisturizing doesn't work fine. Don't buy it i recommend other products.
P018,10018,2024-11-09,Sports,Lululemon Align Leggings,2,98.0,196.0,Asia,PayPal,1,Fell apart after just one use. Absolute junk. Have been using this brand for years. this time it failed.
P019,10019,2024-11-09,Electronics,Sony WH-1000XM5 Headphones,1,399.99,399.99,North America,Credit Card,1,The brand is good for some reason i don't like it.
P020,10020,2024-11-09,Home Appliances,Roomba i7+ Robot Vacuum,1,799.99,799.99,Europe,Debit Card,4,I'm so happy with this. It's exactly what I wanted.
