Units Sold,Unit Price,Total Revenue,Rating,Reviews,year,month,day,Product Category_Books,Product Category_Clothing,Product Category_Electronics,Product Category_Home Appliances,Product Category_Sports,Region_Europe,Region_North America,Payment Method_Debit Card,Payment Method_PayPal
2,999.99,1999.98,1,I always wanted to have an I phone i got it now. Thank you very much for such product.,2024,11,1,False,False,True,False,False,False,True,False,False
1,499.99,499.99,0,A terrible experience. The vacuum cleaner doesn't even work bro.,2024,11,1,False,False,False,True,False,True,False,False,True
3,69.99,209.97,1,I regret buying this. It's of very low quality the jeans very torn after few days of use. I won't recommend buying this product.,2024,11,1,False,True,False,False,False,False,False,True,False
1,89.99,89.99,4,Absolutely fantastic after one month of use! Didn't except to have such good results on my screen.,2024,11,1,False,False,False,False,False,True,False,False,True
2,180.0,360.0,1,The quality is shocking. Avoid this product.,2024,11,1,False,True,False,False,False,False,False,False,False
5,12.99,64.95,1,The item arrived damaged and unusable.,2024,11,1,True,False,False,False,False,False,True,False,False
1,36.0,36.0,1,The beauty product doesn't seem to work well after so many days of use.,2024,11,1,False,False,False,False,False,True,False,False,True
3,29.99,89.97,5,Works perfectly and is incredibly well-made.,2024,11,1,False,False,False,False,True,False,False,True,False
1,399.0,399.0,4,Excellent quality and value. Highly recommend.,2024,11,9,False,False,True,False,False,False,True,False,False
1,89.99,89.99,1,Very disappointed with the quality. Broke almost immediately.,2024,11,9,False,False,False,True,False,True,False,False,False
1,139.0,139.0,4,Top-notch quality and i love it. You won't be disappointed. Buy it guys ,2024,11,9,False,True,False,False,False,False,False,False,True
1,190.0,190.0,1,The Moisturizing doesn't work fine. Don't buy it i recommend other products.,2024,11,9,False,False,False,False,False,True,False,False,False
2,98.0,196.0,1,Fell apart after just one use. Absolute junk. Have been using this brand for years. this time it failed.,2024,11,9,False,False,False,False,True,False,False,False,True
1,399.99,399.99,1,The brand is good for some reason i don't like it.,2024,11,9,False,False,True,False,False,False,True,False,False
1,799.99,799.99,4,I'm so happy with this. It's exactly what I wanted.,2024,11,9,False,False,False,True,False,True,False,True,False
3,110.0,330.0,2,The product is average. Met my basic needs.,2024,11,9,False,True,False,False,False,False,False,False,False
5,10.0,50.0,1,A terrible experience. The product is not as described.,2024,11,9,True,False,False,False,False,False,True,False,True
1,35.0,35.0,1,A terrible experience. The product is not as described.,2024,11,9,False,False,False,False,False,True,False,False,False
1,149.95,149.95,1,Very disappointed with the quality. Broke almost immediately.,2024,11,9,False,False,False,False,True,False,False,True,False
1,1199.0,1199.0,0,Does not work as advertised. Extremely frustrating.,2024,11,9,False,False,True,False,False,False,True,False,False
2,89.95,179.9,4,I'm so happy with this. It's exactly what I wanted.,2024,11,9,False,False,False,True,False,True,False,False,True
1,250.0,250.0,1,I didn't like the quality and it was damaged. I had to return it.,2024,11,9,False,True,False,False,False,False,False,False,False
3,22.0,66.0,5,Brilliant! I would definitely recommend this to my friends and families.,2024,11,9,True,False,False,False,False,False,True,True,False
1,1445.0,1445.0,5,Love it! The design is great and it's very effective.,2024,11,9,False,False,False,False,True,False,True,False,True
1,499.99,499.99,4,Excellent quality and value. Highly recommend.,2024,11,9,False,False,True,False,False,True,False,False,False
3,45.5,136.5,0,Fell apart after just one use. Absolutely not worth of buying it. ,2024,11,9,False,False,False,True,False,False,False,True,False
5,19.9,99.5,5,Five stars! The best purchase I've made this year. Nope i was lying. I don't like the design of the T-shirt sirji.,2024,11,9,False,True,False,False,False,False,True,False,False
4,16.99,67.96,1,The Atomic habit book is so good. The quality and other stuff didn't made me unhappy i would recommend this one.,2024,11,9,True,False,False,False,False,True,False,False,True
3,6.5,19.5,1,Fell apart after just one use. Absolute junk.,2024,11,9,False,False,False,False,False,False,False,False,False
2,59.99,119.98,5,Brilliant! I would definitely buy this again.,2024,11,9,False,False,False,False,True,False,True,True,False
1,139.99,139.99,0,The item arrived damaged and unusable.,2024,11,9,False,False,True,False,False,True,False,False,False
2,25.0,50.0,4,Absolutely fantastic! Exceeded all my expectations.,2024,11,9,False,False,False,True,False,False,False,False,True
1,150.0,150.0,4,A truly wonderful product. I'm very impressed.,2024,11,9,False,True,False,False,False,False,True,False,False
3,14.99,44.97,0,This product did not work at all. A complete waste of money.,2024,11,9,True,False,False,False,False,True,False,True,False
1,34.0,34.0,1,A terrible experience. The product is not as described.,2024,11,11,False,False,False,False,False,False,False,False,False
1,120.0,120.0,1,The quality is shocking. Avoid this product.,2024,11,11,False,False,False,False,True,False,True,False,True
1,799.0,799.0,0,This product did not work at all. A complete waste of money.,2024,11,11,False,False,True,False,False,True,False,False,False
4,30.0,120.0,1,A complete failure. I had to return it.,2024,11,11,False,False,False,True,False,False,False,True,False
3,24.99,74.97,5,A truly wonderful product. I'm very impressed.,2024,11,11,False,True,False,False,False,False,True,False,False
2,13.99,27.98,4,Works perfectly and is incredibly well-made.,2024,11,11,True,False,False,False,False,True,False,False,True
2,22.0,44.0,1,Does not work as advertised. Extremely frustrating.,2024,11,11,False,False,False,False,False,False,False,False,False
2,10.99,21.98,1,The item arrived damaged and unusable.,2024,11,11,False,False,False,False,True,False,True,True,False
1,199.0,199.0,5,Excellent quality and value. Highly recommend.,2024,11,11,False,False,True,False,False,True,False,False,False
1,99.99,99.99,0,A complete failure. I had to return it.,2024,11,11,False,False,False,True,False,False,False,False,True
1,79.9,79.9,4,Excellent quality and value. Highly recommend.,2024,11,11,False,True,False,False,False,False,True,False,False
1,99.0,99.0,0,Very disappointed with the quality. Broke almost immediately.,2024,11,13,False,False,False,False,True,False,True,True,False
1,349.99,349.99,4,I'm so happy with this. It's exactly what I wanted.,2024,11,13,False,False,True,False,False,True,False,False,False
1,199.95,199.95,0,The item arrived damaged and unusable.,2024,11,13,False,False,False,True,False,False,False,False,True
2,110.0,220.0,0,The item arrived damaged and unusable.,2024,11,13,False,True,False,False,False,False,True,False,False
2,9.99,19.98,0,I would not recommend this. It's poorly made.,2024,11,13,True,False,False,False,False,False,True,False,False
1,24.0,24.0,3,I have mixed feelings about this product.,2024,11,13,False,False,False,False,False,True,False,False,True
3,32.95,98.85,0,Fell apart after just one use. Absolute junk.,2024,11,13,False,False,False,False,True,False,False,False,False
1,299.0,299.0,5,Five stars! The best purchase I've made this year.,2024,11,13,False,False,True,False,False,False,True,False,False
1,159.99,159.99,0,A terrible experience. The product is not as described.,2024,11,13,False,False,False,True,False,True,False,False,True
3,90.0,270.0,5,A truly wonderful product. I'm very impressed.,2024,11,13,False,True,False,False,False,False,False,True,False
1,399.99,399.99,5,Outstanding noise cancellation and battery life. Worth every penny!,2024,11,13,False,False,True,False,False,True,False,False,True
2,99.99,199.98,4,This has simplified my weeknight cooking so much. Very versatile.,2024,11,13,False,False,False,True,False,False,True,False,False
1,139.0,139.0,5,Incredibly warm and comfortable. The quality is exceptional as always.,2024,11,13,False,True,False,False,False,False,False,True,False
1,14.99,14.99,5,Could not put this down! A fantastic and gripping story from start to finish.,2024,11,13,True,False,False,False,False,True,False,False,True
1,45.5,45.5,2,The mat is too thin and slippery for my liking. Not recommended for hot yoga.,2024,11,13,False,False,False,False,True,False,False,False,False
1,1099.99,1099.99,5,Blazing fast performance and the battery lasts all day. Perfect for work.,2024,11,13,False,False,True,False,False,False,True,False,False
1,429.99,429.99,1,Arrived with a large scratch on the side. Very disappointed with the packaging.,2024,11,13,False,False,False,True,False,True,False,False,True
3,13.5,40.5,4,A beautiful and thought-provoking concept. A very enjoyable read.,2024,11,13,True,False,False,False,False,False,True,True,False
1,34.0,34.0,5,My new favorite shade! The formula is long-lasting and not drying.,2024,11,13,False,False,False,False,False,True,False,False,False
1,59.99,59.99,5,The best indoor basketball I've ever used. Great grip and feel.,2024,11,13,False,False,False,False,True,False,True,False,False
1,699.95,699.95,5,My home is now a cafe! The learning curve is steep but so worth it.,2024,11,13,False,False,False,True,False,True,False,True,False
1,79.9,79.9,4,So packable and warm for its weight. Perfect for travel.,2024,11,13,False,True,False,False,False,False,False,False,False
2,12.99,25.98,5,A masterpiece of science fiction. The world-building is unparalleled.,2024,11,13,True,False,False,False,False,False,True,False,True
1,28.0,28.0,2,Did nothing for my damaged hair. A complete waste of money for me.,2024,11,13,False,False,False,False,False,True,False,True,False
1,449.99,449.99,5,Incredible running watch. The GPS is accurate and the data insights are superb.,2024,11,14,False,False,False,False,True,False,True,False,False
3,49.99,149.97,4,Surprisingly good sound for its size. Great for smart home control.,2024,11,14,False,False,True,False,False,False,False,False,True
